backbone,id_size,method,implementation_version,n,AUROC,FPR95,AUPR_OUT
ALL,2,rsn_reported,verified_v1,168,0.9168620052138792,0.43069809194395847,0.9590279065945984
ALL,2,knn,verified_v1,168,0.9126030065288411,0.46261451622754945,0.9560062174477315
ALL,2,rsn_paper,verified_v1,168,0.9085721771292671,0.4522067608840173,0.9561271295067959
ALL,2,vim,verified_v1,168,0.9041273223810558,0.5436162564150183,0.9482070988683331
ALL,2,mahalanobis,verified_v1,168,0.9009974163474995,0.5473865230716263,0.9470272781739913
ALL,2,mahalanobispp,verified_v1,168,0.898686406890179,0.5617725332262138,0.9453229390611271
ALL,2,dice,verified_v1,168,0.8792125584669298,0.7229891994992522,0.9292222149288373
ALL,2,entropy,verified_v1,168,0.8440011448761908,0.5292348305671526,0.9356518317816438
ALL,2,gen,verified_v1,168,0.8440011448761908,0.5292348305671526,0.9356518317816438
ALL,2,msp,verified_v1,168,0.8440011448761908,0.5292348305671526,0.9356518317816438
ALL,2,openmax,verified_v1,168,0.8439873354209355,0.5292581481205734,0.935609005153833
ALL,2,maxlogit,verified_v1,168,0.8439839802955689,0.5292862707903554,0.935645347184523
ALL,2,energy,verified_v1,168,0.8439467728948283,0.5293337906593869,0.9356086155425771
ALL,2,gradnorm,verified_v1,168,0.8429536136202982,0.5325530396417034,0.9350450486841828
ALL,2,scale,verified_v1,168,0.8342632278305923,0.5424615909800681,0.9320258539589785
ALL,2,rmd,verified_v1,168,0.831433243862819,0.5693747946465557,0.928720675953334
ALL,2,kl_matching,verified_v1,168,0.7995901255240002,0.5498432777742112,0.9201247012033239
ALL,2,nci,verified_v1,168,0.7988916255573348,0.6648399997247123,0.9042811239546137
ALL,2,react,verified_v1,168,0.6005857500837506,0.8949193946373694,0.7887680754304511
ALL,2,ashb,verified_v1,168,0.49574942646662945,0.9309592201711846,0.7523880658887933
ALL,2,ashp,verified_v1,168,0.4934095615956993,0.9533726417152227,0.738059758565148
ALL,2,ashs,verified_v1,168,0.48789613031034323,0.9482636296910029,0.7395016828408081
dinov2_vitb14,2,rsn_reported,verified_v1,84,0.9106951627963144,0.43844057018754024,0.9569486045334366
dinov2_vitb14,2,rsn_paper,verified_v1,84,0.9065611597027299,0.45036714875633227,0.9558006397327378
dinov2_vitb14,2,knn,verified_v1,84,0.9055206549297917,0.48545918857278647,0.9519650101093898
dinov2_vitb14,2,vim,verified_v1,84,0.8905012581305242,0.591445974920981,0.9405970555082852
dinov2_vitb14,2,mahalanobis,verified_v1,84,0.8880872694634615,0.5934675908295632,0.9396276949083981
dinov2_vitb14,2,mahalanobispp,verified_v1,84,0.8850511082081598,0.6134898622345203,0.9371890709155631
dinov2_vitb14,2,dice,verified_v1,84,0.859779155313524,0.7710641229371753,0.9201370374865476
dinov2_vitb14,2,energy,verified_v1,84,0.8455427969232853,0.5518819158009066,0.9344147607887268
dinov2_vitb14,2,maxlogit,verified_v1,84,0.8455375385834932,0.5519329228668367,0.9343464520601524
dinov2_vitb14,2,entropy,verified_v1,84,0.84553723914204,0.5519410915286922,0.9343437341030513
dinov2_vitb14,2,gen,verified_v1,84,0.84553723914204,0.5519410915286922,0.9343437341030513
dinov2_vitb14,2,msp,verified_v1,84,0.84553723914204,0.5519410915286922,0.9343437341030513
dinov2_vitb14,2,openmax,verified_v1,84,0.8455279672877322,0.551934292651651,0.9342935063179352
dinov2_vitb14,2,gradnorm,verified_v1,84,0.844802049626312,0.5576292498902953,0.9335684787847983
dinov2_vitb14,2,scale,verified_v1,84,0.8306292712186011,0.5623585031502584,0.9297328596375023
dinov2_vitb14,2,rmd,verified_v1,84,0.800373216799429,0.5670273843728159,0.9197142438342825
dinov2_vitb14,2,kl_matching,verified_v1,84,0.7888986457939996,0.5740651366409361,0.9147539694005703
dinov2_vitb14,2,nci,verified_v1,84,0.7818375587951104,0.7408380428350284,0.8905692493246931
dinov2_vitb14,2,react,verified_v1,84,0.6014904069987603,0.9113336674951152,0.7855040141759349
dinov2_vitb14,2,ashp,verified_v1,84,0.4873094783682594,0.9535969274280327,0.7326353515452573
dinov2_vitb14,2,ashb,verified_v1,84,0.47482216567139707,0.9361410544116007,0.7410040773172618
dinov2_vitb14,2,ashs,verified_v1,84,0.46634234427612564,0.9579598212585158,0.7250988842123672
dinov2_vitl14,2,rsn_reported,verified_v1,84,0.923028847631444,0.42295561370037665,0.9611072086557603
dinov2_vitl14,2,knn,verified_v1,84,0.9196853581278904,0.4397698438823126,0.9600474247860731
dinov2_vitl14,2,vim,verified_v1,84,0.9177533866315873,0.4957865379090557,0.9558171422283812
